"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Brazil","Fossil fuels","Domestic Material Input","DMI","t","30213916","32696882","38064224","47085744","47959972","49494056","56365106","57173828","61831394","68381196","63205112","63729572","64423938","67022546","73077356","72995008","77656162","79228218","79836860","79113054","78324980","76851562","76912646","68578980","73312638","72507754","80481470","85670906","90730152","93649100","100788827","105009616","112065952","112926911","122064463","126766025","130858082","139110700","145141112","144583487","156038432","160873095","163202231","171429576","187163647","194015908","193001333","199433061","197745100","205658233","209435335","215346343","214900473","214442689","214454515"
"Brazil","Fossil fuels","Exports","EXP","t","64000","748000","1032000","838000","650000","1056000","2869000","1353000","242000","0","60000","738000","1103000","51000","0","0","107000","0","187000","0","0","0","0","0","0","677000","104000","130000","0","30000","1646000","5618000","11917000","12262000","12262000","13923000","18666000","21373000","21970000","26660000","32028000","30731000","27051000","20142000","26619000","37794000","43419000","53337000","55164000","62866000","70169000","73196685","74865289","76217595","77128987"
"Brazil","Fossil fuels","Imports","IMP","t","19477000","21611000","27090000","36132000","35568000","37816000","44103000","44536000","48513000","54312000","48005000","46524000","43957000","42151000","40341000","35471000","38676000","40770000","41393000","39218000","38763000","37119000","36965000","36452000","39276000","37143000","41441000","42090000","40881000","36786106","34944893","37334232","36049824","34323425","42467923","37249315","37055692","43000790","42394068","37193961","41726174","41994317","42982755","49627918","51501837","48113810","35447211","35941377","37750647","34349358","31225256","31567995","31043739","30665002","30488481"
"Brazil","Fossil fuels","Material Footprint (RMC)","MF","t","25498470","26518812","28768549","32526467","35813326","34806876","38752466","40346157","39208151","41254916","38487317","42972621","45642793","42032572","48936298","54036674","57452985","57214146","58145206","65822003","64236949","67610475","70508471","65636338","74284839","88094492","94293193","105267699","111468528","105703606","116344938","117518509","114624068","112708832","112512815","131859050","144135102","159616951","190392547","183036186","208915780","217072948","218483083","231221078","237411031","210222134","196006423","207127854","212836981","230455562","214591904","226976000","237796768","243540848","244973833"
"Brazil","Fossil fuels","Physical Trade Balance","PTB","t","19413000","20863000","26058000","35294000","34918000","36760000","41234000","43183000","48271000","54312000","47945000","45786000","42854000","42100000","40341000","35471000","38569000","40770000","41206000","39218000","38763000","37119000","36965000","36452000","39276000","36466000","41337000","41960000","40881000","36756106","33298893","31716232","24132824","22061425","30205923","23326315","18389692","21627790","20424068","10533961","9698174","11263317","15931755","29485918","24882837","10319810","-7971789","-17395623","-17413353","-28516642","-38943744","-41628690","-43821550","-45552593","-46640505"
"Brazil","Fossil fuels","Raw Material Equivalents of exports","RME_EXP","t","1562250","1595180","1473756","1303547","1495033","1310029","1379170","1481499","1583048","1783263","2152044","2119395","2345162","3418739","4328700","4623701","4601339","4530286","4655446","3907500","3264584","4117131","4283675","4118705","4430024","4492755","4448006","5437793","6516405","9844816","12255857","15913133","20815427","25242689","32295825","33522465","33288298","33687574","35189659","32664444","34798679","36561575","37843988","38662516","43019588","53241138","58656829","61588399","58931680","59548917","65545506","73154847","65933935","65242542","64819786"
"Brazil","Fossil fuels","Raw Material Equivalents of imports","RME_IMP","t","16323804","17028111","19268081","22876269","24916387","24438849","27869530","29189828","27472805","28968983","25439249","27886444","27521017","20579765","20528641","21136367","23074162","23286215","24356791","29834449","27939552","31995044","34844500","37628062","44678225","57222493","59700729","67124586","68135781","58685428","62756861","65756258","59423367","59348035","65212100","75864805","83621010","97194614","122835162","108311104","129402200","134755745","136107595","148081935","144768810","117561174","97109129","105224570","111774208","118695604","101927331","116352500","125031682","130283875","131431406"
"Brazil","Metal ores","Domestic Extraction","DE","t","47519910","48755974","50759825","61846492","84417548","99466233","102623921","92909695","99689497","116375643","137558652","123814864","127262221","147595817","183315933","209451470","207680975","228881268","257221685","227934389","266451519","254819516","250975196","242614157","268792480","270914837","257611547","268516506","278769483","278313645","294502179","290018937","291924686","315145321","360029373","375936707","418747838","474681431","479306042","466232201","510802579","607078864","556890767","490136165","594758857","622052266","628131402","644472287","644961263","598391733","594492694","619984922","633561999","649105195","665164735"
"Brazil","Metal ores","Domestic Material Consumption","DMC","t","19079071","17043294","19754993","17398288","27920313","28145699","34941630","33961143","31511135","37655972","53599621","31046471","39990111","61694678","78824864","101356718","115035417","122339933","125341651","90218006","134033663","121827952","123424616","105989461","126598776","122233660","109718237","117228020","111172533","119650325","118313210","115948707","104069332","115218347","119206897","120220867","148727186","179255711","171653654","179994111","179034503","250146543","205669682","135928570","223672537","222796626","218582116","225713104","224158482","217087229","213671835","223144046","227491655","231902854","236407452"
"Brazil","Metal ores","Domestic Material Input","DMI","t","50168071","50290240","52166989","64125416","89293533","102874278","104284210","94528210","101038006","117734630","138936654","125339809","128280309","148226175","184000869","210202945","209158546","230779786","258678281","229506118","267951432","256781295","252855656","244549846","270593015","272828787","259198857","270623570","281020705","280369732","296889929","292625298","293913093","317140860","362296079","378271506","422504776","478798246","484297478","470357371","519137289","613599895","563146702","496211601","601411134","627840931","632536665","648171105","648499662","602929828","598972331","624636372","638354289","654017259","670207970"
